solvent ID,smiles,EA_0-1,protic
zinc_648638722,CCC(CC)CN1CCOC[C@@H]1C,-5.515405106735321,False
zinc_649696352,FCCCN(C1CC1)C1COC1,-5.584327469428857,False
zinc_134717145,COC1(CNC(C)C)CCC1,-5.330556341967049,True
zinc_308373046,COCCN(C)C(=O)CCC(C)C,-4.344894563730325,False
zinc_608746432,COC[C@H](C)N1CC[C@H](CC(C)C)C1,-5.49614937202484,False
zinc_83398863,CCC(CC)N[C@@H](COC)C(C)C,-5.572408153363908,True
zinc_594733986,C=C1CCN(CCOC(C)C)CC1,-4.084045077723651,False
zinc_39274406,COC[C@@H]1OC1(C)C,-5.606475912951499,False
zinc_70624380,CC[C@H](COC)NC1CCC1,-5.445228304663612,True
zinc_389299713,CO[C@H](CN[C@@H]1CCC[C@H]1C)C(C)C,-5.162827135750395,True
zinc_307979536,CO[C@H](C)CN(C)CCCCF,-4.205538093263644,False
zinc_161594569,CO[C@@H](C)[C@H](C)NC1CCC1,-5.44537166839427,True
zinc_37186358,CCCC[C@H](C)NCCOC,-5.586138551296102,True
zinc_661243892,C=CCCCN(CC=C)[C@@H](C)COC,-3.924958594815469,False
zinc_649733957,CCCCCN1C[C@@H](CC)OC[C@H]1C,-5.190112855959332,False
zinc_663383885,C=CCN(CC1CC1)[C@H](C)COC,-3.981137993783897,False
zinc_649694921,C=CCCCCN(C(C)C)C1COC1,-3.983482951293497,False
zinc_34925166,C[C@@H](CO)N1CCOCC1,-4.753786810364036,True
zinc_97048995,CCO[C@H]1C[C@@H]1CO,-4.813294074610889,True
zinc_1847864,CCOCCN,-4.410282489117668,True
zinc_1169900712,C=CCN(CCOC)C[C@@H]1C[C@H]1CC,-3.902497100519684,False
zinc_132214672,CO[C@H](C)[C@H](C)NCCO,-5.544856532641541,True
zinc_45328862,CCCNC1COC1,-4.376403734715862,True
zinc_308016471,CC[C@@H]1CC[C@H]1N[C@@H](C)COC,-5.431689444558942,True
zinc_52602181,CCNC[C@H](C)OC,-4.414208462177303,True
zinc_639248529,CC[C@H]1CN(C[C@@](C)(CC)OC)C1,-5.650123689120827,False
zinc_134174024,C[C@H]1CCC[C@@H](C)N1C[C@H]1CO1,-5.512821326426412,False
zinc_308632433,CC[C@H](COC)N[C@@H](C)CCC1CC1,-5.25963437720323,True
zinc_642681004,CC[C@H](CN(C)CCCOC)OC,-5.603387301555907,False
zinc_642722226,CCOCCN1C[C@H](C)[C@H](C)[C@@H]1C,-5.332168907771774,False
zinc_32213988,C1CC[C@H]2COC[C@H]2C1,-5.316379040413913,False
zinc_164007457,CO[C@@H](C)[C@H](C)N[C@@H](C)C[C@H](C)O,-5.313326667356875,True
zinc_44480703,CCOCCNC1CCC1,-5.432104905699138,True
zinc_644919975,COCCN(C)C[C@H](OC)C1CC1,-5.289188213468844,False
zinc_656657903,CCOC1CN(CCCC(C)C)C1,-4.429474207254028,False
zinc_388381051,COC[C@@H](C)N[C@@H]1CCC[C@H]1C,-5.345299177198831,True
zinc_53302809,COCCNCCC(F)F,-4.297088026941838,True
zinc_34770970,CC(C)C(C(C)C)N1CCOCC1,-3.996111730569471,False
zinc_388208170,CCCC[C@H](C)N(C)C(=O)COC,-4.196742441448555,False
zinc_674467440,COCCCN1CC[C@H](OC)C1,-5.4043688601055,False
zinc_678182645,CCC(CC)CN1CCOC[C@H]1CC,-6.055953620726521,False
zinc_70558599,COC[C@H](O)CNCC(C)C,-5.166798480830298,True
zinc_161571242,CCC[C@H](CC)N[C@H](C)[C@@H](C)OC,-5.619655137823499,True
zinc_379308286,CC[C@H](C)NC1(COC)CC1,-5.506721456995242,True
zinc_85508501,CO[C@@H]1C[C@@H](O)C1(C)C,-4.492122136786408,True
zinc_82764614,C[C@@H](CO)CC1CCOCC1,-4.814551423835012,True
zinc_395048,CC[C@](C)(O)CC(C)(C)OC,-5.782742441450779,True
20147457,C1C[C@H]2[C@H]1CO2,-1.0299082238347306,False
zinc_669687654,CC(C)COCCN1CCCC[C@@H]1C,-5.390228928495888,False
zinc_397108528,CC[C@H](CN(C)CCCO)OC,-5.617123546115063,True
zinc_167081773,CO[C@@H](C)CN[C@@H](C)C1CCCC1,-5.209496785492755,True
67511,C1[C@@H]2[C@@H](O2)CO1,-4.320130169947734,False
zinc_233726233,CCOC[C@@H](NCC1CCC1)C(C)C,-5.448645243523197,True
zinc_133117635,COC(C)(C)CN[C@@H](C)C1CC1,-5.242189751295057,True
zinc_659849729,COCCN(C)C[C@H]1CC=CC1,-4.167957962692069,False
zinc_130995429,FC(F)COCCNC1CCCC1,-5.289409442484984,True
zinc_679862068,C=C(C)CN(C)C[C@@H](C)OC,-4.040369927462622,False
zinc_5380285,COCCNC(=O)C(C)C,-4.714420816580916,True
zinc_385024990,CCCCNC(COC)COC,-5.500871861142009,True
12708563,C[C@H]1CCC[C@@H](O1)C,-4.733753796892783,False
zinc_78456441,C[C@@H]1OC[C@@H]1O,-4.683451313989973,True
zinc_1693640,CCCCCOCCCCC,-4.598754360620236,False
zinc_41043291,CCOCCNCC(C)(C)C,-4.324877662177311,True
12607503,C=C1COCC1=C,-2.7408501595854675,False
157568,C1COC[C@@H]1C=O,-3.440884613470028,False
zinc_168976282,C=C(C)CCN[C@@H](C)COCC,-4.090122288080516,True
zinc_1571067,COCCC(=O)C,-3.6983219564764567,False
zinc_752087775,CO[C@@H]1CCN(CCOC(C)C)C1,-5.560289243523033,False
zinc_113073424,COCCN1CCC(C)(F)CC1,-5.364279069432563,False
zinc_403207,COC[C@H]1COC(=O)O1,-3.9522204974085353,False
zinc_5514115,CCCCOCCOC,-4.428429276683101,False
zinc_396963595,CC[C@H](CN(C)CC(=O)OC)OC,-3.928926383419544,False
zinc_336555736,C[C@H]1COC[C@H](C)N1CC1CC1,-5.41974806217638,False
zinc_200174426,CC(C)[C@@H]1C[N@@](C2CCCC2)CCO1,-5.478896741968906,False
zinc_393414762,COC[C@@H](C)NCC(C)(F)F,-4.211469191710944,True
zinc_42459214,COCCN(C)C[C@H](C)C#N,-3.64336676684012,False
zinc_19093337,COCCNCC1CC1,-4.329477937822821,True
zinc_53550220,CCC(CC)NC[C@@H](C)OC,-5.779452107773732,True
zinc_649694121,CC(C)N(CCCCF)C1COC1,-5.502542596892364,False
zinc_1320117573,CO[C@H](C)CN1C[C@H]2CC[C@@H]1CC2,-5.481108574091812,False
zinc_635906636,CC(C)OCCN1[C@H]2CC[C@@H]1CC2,-5.488151125387774,False
zinc_146916830,CCCC[C@H](CC)OC(C)(C)C,-5.456202998963407,False
zinc_1672246,CCCCOCCN,-5.9323897658027365,True
zinc_98214188,CCNC1(CC)COC1,-4.445809347148964,True
zinc_379573281,COC[C@H](CC(C)C)NCC1CCC1,-5.298624839377202,True
zinc_2572897,CCCCNCCOCC,-4.339491332643628,True
zinc_12137833,CO[C@H](C)CN,-5.697558762693808,True
zinc_45621996,C[C@H](O)CCCOC(C)(C)C,-5.841957724352264,True
10219385,C1COC[C@@H]1C#N,-3.587832060103238,False
zinc_666884099,COCCN(C)C(=O)CCCF,-4.251732091193189,False
zinc_322719795,CC[C@](C)(CNCCCF)OC,-4.298296717100129,True
zinc_133268428,CCOC[C@@H](C)N[C@@H](C)CC1CCC1,-5.335494779275118,True
zinc_393342,CCO[C@@H](C)CCO,-5.696466870465271,True
zinc_308403139,CC[C@@H]1CC[C@@H]1NCCOC(C)C,-5.4085537554435685,True
zinc_161875058,CCOC[C@@H](C)NCCC1CCC1,-5.403025401033138,True
zinc_307967747,C1CC(OCCN2CCCC2)C1,-5.266540381347207,False
zinc_70656364,CC[C@@H](S)COC,-3.848187411398032,False
zinc_379311644,C[C@@H]1COCCN1CCCCF,-5.502501778239296,False
zinc_679850407,CO[C@H](C)CN(C)CC(F)F,-5.376039637305123,False
zinc_38171511,CC(C)C(C)(C)[C@]1(C)O[C@H]1C,-5.588397479793283,False
zinc_51696358,CCCC[C@@H](COC)NCCC,-5.563327794819088,True
zinc_85350969,COC(CN1CCO[C@H](C)C1)OC,-5.57070379274643,False
zinc_378759039,COC[C@@H](C)N[C@@H]1CCC[C@H]1OC,-5.552681185492677,True
zinc_308603371,CC[C@@H](CN[C@H](C)CCC1CC1)OC,-5.20110385077794,True
zinc_307701902,CC[C@@H]1CN(CCF)C[C@H](C)O1,-5.48976169740976,False
zinc_169154087,CCCOC[C@H]1COC(=O)O1,-5.384438634196318,False
zinc_14444687,CO[C@H](C)C(=O)C,-3.5875985720192043,False
zinc_591374091,CO[C@H](CC(C)C)CN(C)CC#N,-3.5661436953372343,False
zinc_308627183,C=C[C@@H](COC)NC(CCC)CCC,-3.9732172891196704,True
zinc_37184400,CCCN[C@@H]1CCCC[C@H]1OC,-5.651700609323782,True
zinc_378828552,C=CCCCNC[C@@H](CCC)OC,-3.995319121244661,True
zinc_388340253,CCCC[C@@H](C)N[C@@H](C)[C@H](C)OC,-5.604476418653627,True
zinc_2040158,COC1CCCCC1,-4.581281983419216,False
zinc_642526411,CCOCCN(CC(C)C)C1CC1,-4.04091959170751,False
zinc_158288367,CCOCCN[C@@H]1C[C@H](C)C1,-5.356659452849634,True
zinc_36951001,COC[C@H](O)CNC(C)C,-5.4264055440422085,True
zinc_33611403,CCOCCN(C)CCCN(C)C,-4.250441655960943,False
zinc_1724633,CCC[C@H]1CCO1,-4.785597796891977,False
zinc_16083064,NC1COC1,-4.390599007254846,True
zinc_238171699,CC1(C)OCC[C@H]1CO,-5.56560911295265,True
zinc_308575214,C=CCC[C@@H](CCC)NC[C@H](C)OC,-3.984350543005154,True
zinc_307690560,COC[C@@H](C)N[C@H]1CC[C@@H]1C,-5.51734074611233,True
zinc_35881834,C[C@@H](O)[C@H]1CO1,-4.770610265285079,True
zinc_87476805,COCCN[C@@H](COC)C1CC1,-5.688608835234557,True
zinc_162348656,CCCCN(C)C(=O)COC(C)C,-4.270639695336601,False
zinc_335425962,CC(C)N[C@H]1CO[C@@H](C)C1,-5.360847958550505,True
zinc_20254956,CCCCN1CCOCC1,-5.5849928538855,False
zinc_528769623,COCCN1CCC(F)(F)C[C@H]1C,-4.784314016577489,False
zinc_20230620,CCN1CCOCC1,-5.636318147150057,False
zinc_388284316,CCCCCN1CCO[C@@H](C)[C@H]1C,-5.891770572018827,False
zinc_44692124,CCOC[C@H](C)NC1CCC1,-5.420288781346253,True
zinc_669688973,CCCN(C)CCOCC(C)C,-4.429421964765052,False
zinc_637831695,CC[C@H](C)[C@@H](CN(C)CCO)OC,-5.953712864246278,True
zinc_308478183,COCCC[C@@H](C)N[C@H](C)COC,-4.386263716064152,True
zinc_306527589,COC[C@@H](C)N1CC[C@@](C)(F)C1,-3.3627790238337827,False
zinc_42319024,COC[C@@H](C)N(C)CCO,-4.083123061141236,True
zinc_658115242,C=CCCN[C@@H](COC)CC(C)C,-3.976958271500187,True
zinc_792407336,C=CCN(CCCCCC)CCOC,-3.905415432126819,False
zinc_679850671,CO[C@@H](C)CN(C)CCC(F)(F)F,-4.767801214509109,False
zinc_82764620,C[C@@H](CO)C[C@H]1CCOC1,-4.2867104435226935,True
zinc_167356824,COCCN1CCC[C@H]1COC,-4.499112715023659,False
zinc_37688394,CC[C@H](O)CN[C@@H](C)COC,-4.271370227978463,True
zinc_308055455,C=CCCCCN[C@@H](C)COC,-4.000728737824975,True
zinc_233786546,CCOC[C@H](N[C@@H](C)C1CC1)C(C)C,-5.491175235232623,True
zinc_168617252,CO[C@@]1(C)CCCN(C(C)C)C1,-5.87813272331546,False
zinc_306427419,COC[C@@H](C)N1CCCCCCC1,-5.749810545078287,False
zinc_929202465,C[C@H](C1CC1)N(C)CCOC1CC1,-5.375771177201108,False
zinc_658192653,CC[C@@H](COC)NCCC(C)(C)F,-5.283562055960847,True
zinc_308489962,CC[C@H](COC)NCC[C@@H](C)OC,-4.094709765805258,True
zinc_32219668,COC(C)(C)CC(C)(C)C,-5.803321535751434,False
zinc_104585255,CO[C@@H](C)[C@H](N)CO,-6.175559871501695,True
zinc_96528819,COCCCCNC[C@H](C)OC,-5.3816803170986125,True
zinc_306456240,C[C@@H]1CN(CC2CC2)CCO1,-5.613641566841141,False
zinc_44690629,CCCCCCN[C@@H](C)COCC,-4.580939726421828,True
zinc_662130495,COC[C@@H](C)/N=C/C[C@@H](CC1CC1)C,-3.669477556474552,False
zinc_379398267,CC[C@H](COC)NC[C@@H](CC)OC,-5.104631807251681,True
zinc_146201645,C[C@H]1C[N@@](C2CCCC2)CCO1,-5.34447905906872,False
zinc_308403454,C=CCN(CCOC)CCC(C)C,-3.895908134715861,False
zinc_52602135,CNC[C@H](OC)C(C)C,-4.429360858030754,True
