solvent ID,smiles,EA_0-1,protic
zinc_157225368,CN(CCO)CC(F)(F)C(F)F,-4.754830124,TRUE
zinc_82680440,O[C@@H](CNC1CC1)C(F)(F)F,-4.261214385,TRUE
zinc_5498152,CCC(CC)N[C@H](C)CO,-5.526319476,TRUE
zinc_388743344,C/C=C\C[C@H](CO)NCCC(C)C,-4.232396093,TRUE
zinc_393545587,CCN(CCCCCF)[C@H](C)CO,-5.582604922,TRUE
zinc_34925166,C[C@@H](CO)N1CCOCC1,-4.75378681,TRUE
zinc_97048995,CCO[C@H]1C[C@@H]1CO,-4.813294075,TRUE
zinc_5925700,CC[C@H](CO)NC,-4.802054989,TRUE
zinc_34556904,CN1CCC(CCO)CC1,-5.183464885,TRUE
zinc_639937133,C[C@@H]1CCN(CC(F)F)[C@H](CO)C1,-5.378869973,TRUE
zinc_217876279,CCC[C@H]1C[C@@H](O)CN1C(C)C,-5.563190062,TRUE
zinc_132214672,CO[C@H](C)[C@H](C)NCCO,-5.544856533,TRUE
zinc_50403410,CCC[C@@H](CC)NC[C@@H](O)CC,-5.667698369,TRUE
zinc_1682062,OCCN1CCCCCC1,-5.657045644,TRUE
zinc_1681819,OCCN1CC1,-4.778371144,TRUE
zinc_44122828,CCCCN(C=O)CCO,-4.281440149,TRUE
zinc_662165877,C=CCCCN[C@H](C=C)CO,-3.808325882,TRUE
zinc_5514220,CCCCOCO,-5.692416771,TRUE
zinc_138995782,C[C@@H]1[C@H](CO)CCN1C,-4.355095293,TRUE
zinc_164007457,CO[C@@H](C)[C@H](C)N[C@@H](C)C[C@H](C)O,-5.313326667,TRUE
zinc_235549491,C[C@H](O)CN(C)[C@H](C)CO,-5.524538274,TRUE
zinc_87689934,CN(CCF)CC(C)(C)O,-5.754343275,TRUE
zinc_50103713,CC(C)N(CCO)CC(F)F,-4.818637735,TRUE
zinc_697609987,C[C@H](O)[C@@H](C)NCC(C)(F)F,-4.785907318,TRUE
zinc_409424471,OCCN1CCC[C@@H](F)C1,-4.619386694,TRUE
zinc_306195622,OC[C@@H](NCCF)C1CC1,-5.550263105,TRUE
zinc_70558599,COC[C@H](O)CNCC(C)C,-5.166798481,TRUE
zinc_308641424,C=C[C@H](CO)N[C@H](C)CCC=C(C)C,-3.809552274,TRUE
zinc_930603256,CC[C@H](CO)N1CC[C@H](F)C1,-4.116864918,TRUE
zinc_85508501,CO[C@@H]1C[C@@H](O)C1(C)C,-4.492122137,TRUE
zinc_82764614,C[C@@H](CO)CC1CCOCC1,-4.814551424,TRUE
zinc_307407944,C[C@@H]1CN(C[C@@H](O)CF)C[C@H]1C,-4.345631374,TRUE
zinc_166791890,CC(C)[C@H](N[C@H](C)CO)C1CC1,-5.301941227,TRUE
zinc_334953472,C=C(C)CN1CCCC[C@H]1[C@@H](C)O,-3.999216023,TRUE
zinc_650181812,C=CCCN(CC(F)F)C[C@@H](C)O,-3.998446665,TRUE
zinc_395048,CC[C@](C)(O)CC(C)(C)OC,-5.782742441,TRUE
zinc_397108528,CC[C@H](CN(C)CCCO)OC,-5.617123546,TRUE
zinc_32228566,O[C@@H](CN1CCCC1)C(F)(F)F,-4.512172097,TRUE
zinc_306468110,CC[C@H](F)CN1CC[C@H](O)C1,-5.105795556,TRUE
zinc_307079957,C[C@@H]1CCN(C[C@@H](O)CF)C[C@@H]1C,-4.71329247,TRUE
zinc_3622806,OCCCN1CCCC1,-5.410333988,TRUE
zinc_117630521,OCCN1CCC(F)(F)C1,-4.815571567,TRUE
