solvent ID,smiles,EA_values,protic
zinc_379153454,CCOCCN(C)[C@H](CC)CO,-4.7767242259075,True
zinc_674868297,CC[C@@H]1CCN([C@@H](C)COC)C1,-5.35390170155212,False
zinc_648754900,C=CCC[C@H](CC)N[C@@H](CC)[C@H](C)O,-4.05032922072225,True
zinc_586500,CCN(CC)C[C@H]1OC1(C)C,-5.3909496538865,False
zinc_336555741,CO[C@@H]1CCCN(CC2CC2)C1,-5.50180683730458,False
zinc_307878827,C=C[C@H](CO)N[C@@H](C)C1CC1,-3.7350311005184,True
zinc_70623658,CCCCN[C@H](CC)COC,-4.34816940518089,True
zinc_70642669,C[C@@H]1CC[C@H](NC2CC2)C1,-5.4077286797932,True
zinc_35359193,C[C@H]1CCCNCC1,-5.6108362072546,True
zinc_51863092,CC(C)NCCOCCN(C)C,-4.38681292228126,True
zinc_4886739,CN(C)CC(O)CN(C)C,-5.46450249533656,True
zinc_83428619,CN1CC(CCO)C1,-4.85563382176327,True
zinc_2509151,CCCCCCNC[C@@H](C)O,-4.56850477512911,True
zinc_1565877,CCCC[N]1([O])CCOCC1,-5.89083117720113,False
zinc_141737567,CC(C)N1C[C@H](C)OC(C)(C)C1,-4.24805862797718,False
zinc_319386485,C=CC[C@H](C)NC[C@](C)(CC)OC,-4.06215008704597,True
zinc_335587792,C=C1CCN(C[C@@H](C)OC)CC1,-4.04827457409558,False
zinc_33426857,CCN1CC[C@@H](N)C1,-5.84676346735716,True
zinc_87439807,CCNC1CC(C)(C)C1,-5.46386849948288,True
zinc_252711924,CCOC[C@H](C)N[C@@H](C)[C@H](C)OC,-4.40672078548759,True
zinc_159033790,CC(C)OCCN[C@H](C)[C@@H](C)O,-4.3745017471487,True
zinc_308135205,COC[C@H](NCCCCF)C1CC1,-4.21270587564963,True
zinc_95635072,CN(C)C[C@H](O)CO,-4.59546343419722,True
zinc_131942854,CCC(CC)N[C@@H](C)[C@@H](C)OC,-5.50983340103774,True
zinc_1335987528,C[C@@H](O)CN[C@@H]1C[C@H]1C(F)(F)F,-4.70043230466108,True
zinc_68604064,F[C@]12CC[N@](CC1)CC2,-5.39013236476652,False
zinc_644664024,C=C(CC)CNC[C@@H](O)CCC(C)C,-4.01666245388705,True
zinc_595820199,C=C(C)CCN(CC)[C@@H](C)C#N,-4.02664278963787,False
zinc_308308647,CCOCCN[C@H](C)CCCOC,-5.31991970155434,True
zinc_11892475,CC(C)N1CC[C@H](CO)C1,-4.86238765181365,True
zinc_88026816,O[C@H]1CCN(CCCF)C1,-4.79870683523341,True
zinc_44656209,CCCCNCCCCOC,-4.33213171606173,True
zinc_49800130,C=CCN(CCO)CCCC,-3.89213616787625,True
zinc_663462507,CC[C@@H](NCCOCCF)C1CC1,-5.38754421969098,True
zinc_126277090,CSCCN(C)C[C@H](C)O,-5.28786118963655,True
zinc_660126521,CC(=CCCN(C)[C@H](C)CO)C,-4.24761229015643,True
zinc_115587859,COCCN1CCC1,-5.54997446424947,False
zinc_53302853,C=CCCNCCOC,-3.95381158963703,True
zinc_74942206,N[C@@H](CO)CF,-4.76662334715053,True
zinc_133757598,C[C@H](CO)N(C)CC1CC1,-5.58633881865229,True
zinc_698558351,CCC[C@H](C)NC[C@@](C)(O)C(F)F,-4.10649013678549,True
zinc_830217983,CCCCCCN(C(C)C)C1COC1,-5.55234455958355,False
zinc_49900374,CCCCCCN(C)CC(=O)OC,-4.00164299482126,False
zinc_379412396,C=C(C)CN(CCCC)CCOC,-4.03808335543888,False
zinc_308051915,C=C(CC)CN(C)C[C@@H](C)OC,-4.06038246424748,False
zinc_648638722,CCC(CC)CN1CCOC[C@@H]1C,-5.51540510673532,False
zinc_649696352,FCCCN(C1CC1)C1COC1,-5.58432746942886,False
zinc_134717145,COC1(CNC(C)C)CCC1,-5.33055634196705,True
zinc_688757893,C[C@H](NCCCC(F)F)[C@@H](C)O,-5.40835491606381,True
zinc_308304690,C[C@@H]1C[C@H](N[C@@H](CO)CC(F)F)C1,-4.62711661554636,True
zinc_86234006,CN(CCC(C)(C)O)CC(F)(F)F,-4.94963387150315,True
zinc_608746432,COC[C@H](C)N1CC[C@H](CC(C)C)C1,-5.49614937202484,False
zinc_83398863,CCC(CC)N[C@@H](COC)C(C)C,-5.57240815336391,True
zinc_70916129,OC[C@H]1CCCN1CCC(F)(F)F,-4.80994589429932,True
zinc_594733986,C=C1CCN(CCOC(C)C)CC1,-4.08404507772365,False
zinc_1326527097,CC(C)CCN[C@@H](CO)CCF,-4.18159896373046,True
zinc_157225368,CN(CCO)CC(F)(F)C(F)F,-4.75483012435184,True
zinc_307554630,CN(CCCF)C1CCC1,-5.32834027979265,False
zinc_307297466,C[C@H]1[C@H](C)C[N@@]1C1CCCC1,-5.54416019067158,False
zinc_70624380,CC[C@H](COC)NC1CCC1,-5.44522830466361,True
zinc_389299713,CO[C@H](CN[C@@H]1CCC[C@H]1C)C(C)C,-5.1628271357504,True
zinc_307979536,CO[C@H](C)CN(C)CCCCF,-4.20553809326364,False
zinc_82680440,O[C@@H](CNC1CC1)C(F)(F)F,-4.26121438549021,True
zinc_161594569,CO[C@@H](C)[C@H](C)NC1CCC1,-5.44537166839427,True
zinc_37186358,CCCC[C@H](C)NCCOC,-5.5861385512961,True
zinc_661243892,C=CCCCN(CC=C)[C@@H](C)COC,-3.92495859481547,False
zinc_5498152,CCC(CC)N[C@H](C)CO,-5.5263194756489,True
zinc_649733957,CCCCCN1C[C@@H](CC)OC[C@H]1C,-5.19011285595933,False
zinc_663383885,C=CCN(CC1CC1)[C@H](C)COC,-3.9811379937839,False
zinc_388743344,C/C=C\C[C@H](CO)NCCC(C)C,-4.23239609326143,True
zinc_393545587,CCN(CCCCCF)[C@H](C)CO,-5.58260492227918,True
zinc_649694921,C=CCCCCN(C(C)C)C1COC1,-3.9834829512935,False
zinc_34925166,C[C@@H](CO)N1CCOCC1,-4.75378681036404,True
zinc_1847864,CCOCCN,-4.41028248911767,True
zinc_19517644,C[C@@H]1CCCCN1CC#N,-3.60377364352386,False
zinc_166821305,CCN1CCC(C2CC2)CC1,-5.72083099896423,False
zinc_1169900712,C=CCN(CCOC)C[C@@H]1C[C@H]1CC,-3.90249710051968,False
zinc_5925700,CC[C@H](CO)NC,-4.80205498859919,True
zinc_34556904,CN1CCC(CCO)CC1,-5.18346488497483,True
zinc_639937133,C[C@@H]1CCN(CC(F)F)[C@H](CO)C1,-5.37886997305676,True
zinc_379319955,C[C@H](C1CC1)N(CCF)C1CC1,-4.01417483316059,False
