r ($\AA$),C_CO₂ - BF₄⁻,C_CO₂ - Solvent,C_CO₂ - TBA⁺,O_CO₂ - BF₄⁻,O_CO₂ - Solvent,O_CO₂ - TBA⁺
0.25,0,0,0,0,0,0
0.75,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.75,0,0,0,0,0,0
2.25,0,0,0,0,0,0
2.75,0,0,0,0,0.011391455,0
3.25,0.060978961,0.1106898541099557,0,0.213426363,0.3101704904735807,0
3.75,1.283083936700814,0.7450396442295207,0,1.1226984446132122,1.0026617862703298,0.045824426
4.25,1.8557836793493665,1.440342414683746,0.1070644430393864,1.7308751624700809,1.6857202763019297,0.3211933291181595
4.75,1.3431122442296466,1.8599680261294556,0.4000759876428734,1.485996525530674,1.4667213753401465,1.100208966017902
5.25,0.9358704587934292,1.5089116097784347,1.3102186423108009,0.9592672202632648,1.1178961936371077,0.9826639817331004
5.75,0.6047208298286756,0.9640836963494036,1.5800770069717012,0.672995762,0.9345332382237512,1.0631382330858976
6.25,0.6935219146133393,0.702115061,1.1558698576888982,0.6770094880749263,0.8430879485283665,1.073307724996835
6.75,0.8211536137073231,0.6698502803115354,1.0052052857451712,0.7857590613923522,0.8248328907093098,1.1892569577830192
7.25,0.7977517005127026,0.8079492347441223,1.1904909992266492,0.9204827313608124,0.8748642923727026,1.1475351384298125
7.75,0.998921648,0.9828643628858236,1.213743507983724,0.9129929042355452,0.9871425651218764,1.1761496825152022
8.25,0.9384191880110724,1.1004655212152137,1.1185198402556211,1.0095115507391823,1.078400507,1.0142510415877235
8.75,1.2219015960225956,1.162819702511421,0.9943750919356296,1.0702172599646151,1.1165171056409655,1.0744307137440046
9.25,1.093405615,1.137288567593791,1.0406205164743476,0.9802946894323564,1.092137748627495,1.0029168745731032
9.75,0.8076906551580708,1.0497627442052593,0.7805413894384721,0.9604052748308152,1.0229281369685357,0.9468306419710166
10.25,0.8720813502023939,0.9607720070767012,0.939636948,0.896647022,0.954676705,0.8782227681615662
10.75,0.8710275236167528,0.9040801514623782,0.8375264650161087,0.882194543,0.9411577187676948,0.8040254064154658
11.25,0.9635799873544784,0.9189935216160016,0.7851392489555008,1.0400545895254696,0.9524662444293358,0.8922036919948879
11.75,1.0515834704079767,0.965471651,0.892677524,1.0165306880610427,0.9809896310225868,0.850614185
12.25,1.1266040800594623,1.021446729,0.9288033637131444,1.0212536985271872,1.0203376814977314,0.9094532936357892
12.75,1.0082313294797376,1.046639919872977,0.9526595239178623,1.043956061626658,1.033110475116063,0.9248736211369254
13.25,1.0732528664369072,1.0491861672463263,0.9005032612227466,0.9758514932842426,1.0329145058470293,0.931745211
13.75,0.928363697,1.028900327589645,0.9420161043800396,0.9880929790508032,1.0189496258856765,0.8908195769680819
14.25,0.8961430074343055,1.009907227532345,0.8389423899384991,0.9453990947223612,0.9988787775018656,0.9247433161822088
14.75,0.8898117249922218,0.9823467216624308,0.9076079594920662,0.9239211744502556,0.9890089315524588,0.9328192917001776
15.25,0.8990190924654464,0.968635158,0.9711625998855128,0.8740463398969619,0.983473686,0.91982972
15.75,1.0379532719381033,0.9801698755080354,0.9495061259584148,1.0015338588876437,0.9903359212664896,0.9989324722411824
16.25,0.9457415443362396,1.001844687254998,0.9897295231425768,1.0141672891460962,1.0010867415252125,0.9384102145351824
16.75,1.0741316298553023,1.0106180716897026,0.9706285820105728,0.9706285820105728,1.0108133108701702,0.9614283110910414
17.25,0.9802397863413796,1.017201378890591,0.9585530654046226,0.9856614665755676,1.0133497379537346,0.9759024421540274
17.75,0.921699979,1.015845979781526,0.9810984221848678,0.9473027562849706,1.0104897082739297,0.9626644226031064
18.25,0.9183916672625504,1.0084038705353982,0.961017441,0.9765177221525856,1.0013255099497038,0.9348607161480604
18.75,0.9985575864670524,1.0016306761567342,0.9379833211115142,0.9269698183195982,0.999724977,0.920545275
19.25,0.9229804058136476,0.9900978802999364,0.903824209,0.9891563594380202,0.9958686754378944,0.9595513275534308
19.75,1.0058858048027148,0.9925640445049024,0.9678342036341918,0.9926504652658372,0.9953457127474308,0.9670069949131356
