,diffusion (m2/s),std,R2
TBA+,3.3752334762316224e-10,2.288448036493576e-14,0.99088976022767
dmso,7.708160062198484e-10,3.770056022010073e-15,0.999952158655443
BF4-,7.303261906321449e-10,2.492977121232057e-14,0.9976750055381935
CO2,1.14114501327337e-09,5.949624434395263e-14,0.9945927962373357
