,diffusion (m2/s),std,R2
TBA+,3.014224668246279e-10,3.587799790586025e-14,0.9724450130300356
12586,2.0203610182898746e-09,1.5731115551945785e-14,0.9998787620956167
BF4-,3.01955924772821e-10,3.0704832346048154e-14,0.9797387319177182
CO2,4.856439054612809e-09,2.8571806868689836e-13,0.9931249884689111
