,diffusion (m2/s),std,R2
TBA+,4.1514581234333227e-10,2.499534453861186e-14,0.9928020373722461
prp,1.0749845975067517e-09,6.8199338688609e-15,0.9999195083406233
BF4-,6.935308692912387e-10,3.696005375727044e-14,0.9943518829063971
CO2,3.102206105151906e-09,1.482257552063352e-13,0.9954547521824948
