,diffusion (m2/s),std,R2
TBA+,9.66054059881391e-10,7.317223184098986e-14,0.9886560328562004
meoh,2.8036781058223587e-09,9.966727984590077e-15,0.9999747263521521
BF4-,1.898991865467369e-09,6.931795953614695e-14,0.9973422169329881
CO2,4.077496014717558e-09,1.6756192653362097e-13,0.9966338827220397
