,diffusion (m2/s),std,R2
TBA+,2.59e-09,1.17e-11,0.9967546800822422
acn,5.37e-09,1.19e-12,0.9914562765478221
BF4-,3.80e-09,8.09e-12,0.9924356524126552
CO2,7.64e-09,1.24e-11,0.9951122319292205
,,,
,,,
,,,
,,,
,,,
,,,
