,diffusion (m2/s),std,R2
TBA+,5.257971290678438e-10,2.5824304811922978e-14,0.9951986800828622
20147457,1.4667127711737012e-09,9.661993356422957e-15,0.9999132168066983
BF4-,8.622783454097924e-10,4.272517519929601e-14,0.9951137524126552
CO2,2.5703984448573036e-09,1.2331946402046751e-13,0.9954175509292205
