,diffusion (m2/s),std,R2
TBA+,6.189657964446762e-11,5.787016750604141e-15,0.9828177838136158
amp,1.3099481702642885e-10,1.2706265049466359e-15,0.9998118622801077
BF4-,2.1801609495273825e-10,1.409670470129988e-14,0.9917077612204156
CO2,6.139383084521764e-10,4.575541177614826e-14,0.9890132917095846
