,diffusion (m2/s),std,R2
TBA+,2.2576913958448705e-10,7.106528895807631e-15,0.9980223194323873
mea,6.222883229558037e-10,2.001284266031721e-15,0.9999793150121158
BF4-,7.18477266647505e-10,4.0598201226436844e-14,0.9936546876868729
CO2,1.4717739611895877e-09,1.3064000840693296e-13,0.9844864950762197
