,diffusion (m2/s),std,R2
TBA+,4.762246592283112e-10,3.6250410608690356e-14,0.9885441278730227
degme,7.84812901001386e-10,7.300629362499447e-15,0.999826961327767
BF4-,9.288380152769895e-10,6.642128634861983e-14,0.9898761556535175
CO2,2.3656256763331886e-09,1.0861428647636927e-13,0.9958015917365841
