,diffusion (m2/s),std,R2
TBA+,1.6696528154079083e-10,1.590884087890421e-14,0.9821663687482065
ae,5.929463170564225e-10,4.8252131693460244e-15,0.9998675735500026
BF4-,5.218110617561228e-10,4.601931762494505e-14,0.9846827739157411
CO2,7.605317470239421e-10,6.569963396798326e-14,0.9852942509966697
