,diffusion (m2/s),std,R2
TBA+,5.5175037214320566e-11,4.233174721018175e-15,0.9883642563356211
tbae,1.2564822582373753e-10,1.4832622533761146e-15,0.9997213672646972
BF4-,1.470358686204881e-10,6.613652328716871e-15,0.9959699321138878
CO2,5.042644989496977e-10,4.8779425340457666e-14,0.9816289522630051
