,diffusion (m2/s),std,R2
TBA+,1.7400895938499318e-10,1.8824392502840442e-14,0.9771292334041523
etg,6.74870442536068e-10,6.207447881698663e-15,0.9998308227874074
BF4-,7.407041380056887e-10,3.7080618138781315e-14,0.9950127283899936
CO2,1.1448741920767249e-09,8.011099475836201e-14,0.9903023496156136
