,diffusion (m2/s),std,R2
TBA+,6.090015812074481e-10,3.282528793495381e-14,0.9942231100062998
thf,2.7631488346637885e-09,1.3985858176959285e-14,0.9999487637393271
BF4-,6.240893314516348e-10,8.340304116013725e-14,0.9655127729982248
CO2,5.056373645513015e-09,4.004791237334294e-13,0.9876092782935789
