,diffusion (m2/s),std,R2
TBA+,1.2811066709542967e-10,5.9342463209909225e-15,0.9957270201860047
bae,2.9366035578268835e-10,3.572192165771866e-15,0.9997041439367421
BF4-,2.571690564332789e-10,1.1078749717385723e-14,0.9963020155196094
CO2,1.3179272840029519e-09,6.441957061099844e-14,0.9952443218227975
