,diffusion (m2/s),std,R2
TBA+,3.5577918537067827e-10,2.4249710727040592e-14,0.9907941166698966
dmf,1.6770419967677579e-09,1.427651395447313e-14,0.9998550816017143
BF4-,3.419343134109684e-10,2.1235787049250692e-14,0.9923450202891613
CO2,3.4197157944336917e-09,1.258556642118766e-13,0.9972984026435203
