iter	RMSE
134	0.4123028522
135	0.4119322758
136	0.4114985496
137	0.4112699168
138	0.4108816231
139	0.4105961125
140	0.4103241944
141	0.410034123
142	0.4097157203
143	0.409515518
144	0.409126861
145	0.4089793754
146	0.4086535368
147	0.4083084109
148	0.4081168491
149	0.4077829094
150	0.4073983027
151	0.407149447
152	0.4068747674
153	0.4065298345
154	0.4061543186
155	0.4058914805
156	0.4055974674
157	0.405285813
158	0.4050587028
159	0.4046900308
160	0.4043805745
161	0.4039819348
162	0.4037088105
163	0.40312457
164	0.4027710371
165	0.4025598234
166	0.4022876697
167	0.402118786
168	0.4019062854
169	0.4014885413
170	0.4011543613
171	0.4007793736
172	0.4004935929
173	0.4003000542
174	0.4000745401
175	0.3998907043
176	0.39963769
177	0.3993727134
178	0.3990377459
179	0.3986866172
180	0.3984643
181	0.398034263
182	0.3976485816
183	0.3973505469
184	0.3970099494
185	0.3967973637
186	0.3964881278
187	0.3960968399
188	0.3959229446
189	0.3955336055
190	0.3951608652
191	0.3949390076
192	0.3947080692
193	0.3943811589
194	0.3941219894
195	0.3939308636
196	0.3936899825
197	0.3933568103
198	0.3930346706
199	0.3927845112
200	0.3925763189
201	0.392204893
202	0.3918197942
203	0.3914556096
204	0.3911432399
205	0.3909440506
206	0.3906147911
207	0.3903827954
208	0.3901132562
209	0.3899040986
210	0.3896585585
211	0.3893023905
212	0.3890628018
213	0.3888424472
214	0.38861849
215	0.3882166123
216	0.3879862025
217	0.3877700776
218	0.3875070192
219	0.3872870685
220	0.38685624
221	0.3865344354
222	0.3861951417
223	0.3859687343
224	0.3856401988
225	0.3853703312
226	0.3850741868
227	0.3848434525
228	0.384464833
229	0.3841555478
230	0.3839236719
231	0.3837149401
232	0.3833678547
233	0.3832072414
234	0.3830353329
235	0.382815126
236	0.3826509228
237	0.3824815841
238	0.3822327738
239	0.3819601676
240	0.3816896341
241	0.3812548377
242	0.3811359913
243	0.3808868787
244	0.3806097228
245	0.3803261859
246	0.380018753
247	0.3798179889
248	0.3795325098
249	0.3792857493
250	0.3790857385
251	0.3788273873
252	0.3785359026
253	0.378178783
254	0.3779527168
255	0.3776126058
256	0.3774333868
257	0.3772340528
258	0.37697664
259	0.3766942566
260	0.376411626
261	0.3761685701
262	0.3758282261
263	0.3756338536
264	0.3755014915
265	0.3752181754
266	0.3749854599
267	0.3747910055
268	0.3745293718
269	0.3743688255
270	0.374091859
271	0.3738087924
272	0.3735594094
273	0.3732718547
274	0.3729749039
275	0.3725835984
276	0.3722978472
277	0.3720090847
278	0.3717475526
279	0.3713504002
280	0.3710416128
281	0.3707770281
282	0.3705797007
283	0.3703049341
284	0.3699923952
285	0.3697507193
286	0.3695411161
287	0.3692957196
288	0.3689860787
289	0.3687430751
290	0.3685596516
291	0.3682835948
292	0.3680572933
293	0.3678066895
294	0.3675739546
295	0.3673123095
296	0.3670664568
297	0.3668011646
298	0.3665096881
299	0.36631466
300	0.3660561523
301	0.3658657409
302	0.3656912693
303	0.365416908
304	0.3652195282
305	0.3648946061
306	0.3645324322
307	0.3642922875
308	0.3640763601
309	0.3639625684
310	0.3637551571
311	0.3634738579
312	0.3633132821
313	0.3630046453
314	0.362830009
315	0.3625716057
316	0.3622952127
317	0.3621401257
318	0.3619407566
319	0.3617081677
320	0.3615680381
321	0.361354794
322	0.3611230075
323	0.3607847087
324	0.3605928061
325	0.3603176297
326	0.3601200801
327	0.3599184823
328	0.3597221756
329	0.3594772433
330	0.3592804917
331	0.3591079003
332	0.3589083679
333	0.3587381028
334	0.3586077658
335	0.3583285568
336	0.3580819648
337	0.3578205979
338	0.3576014144
339	0.3574251625
340	0.3572775766
341	0.3570751197
342	0.3568905868
343	0.3567096538
344	0.3564492417
345	0.3561861721
346	0.3559431272
347	0.3557823522
348	0.3555817401
349	0.355322094
350	0.355125721
351	0.3548060407
352	0.3546032053
353	0.3544509322
354	0.3542572147
355	0.354021684
356	0.3537084782
357	0.3535826136
358	0.353388778
359	0.353086701
360	0.3529810224
361	0.3527286724
362	0.3525892224
363	0.3523571302
364	0.3520994928
365	0.3517904611
366	0.3515915855
367	0.351331037
368	0.3509814224
369	0.3507212559
370	0.3505104537
371	0.3504437422
372	0.350279911
373	0.3501231146
374	0.3498981389
375	0.349738792
376	0.349452573
377	0.3492287476
378	0.3490522351
379	0.3489160286
380	0.3486829806
381	0.3483991428
382	0.3481833019
383	0.3479792845
384	0.3477097302
385	0.3475467173
386	0.3473719373
387	0.347148554
388	0.3470362137
389	0.3469593172
390	0.3468515989
391	0.3467010674
392	0.3465089925
393	0.346208566
394	0.3461130207
395	0.3459426932
396	0.3457177894
397	0.3454406502
398	0.345362319
399	0.3452525791
400	0.3451072917
401	0.3449528918
402	0.3447448386
403	0.3445500308
404	0.3443465868
405	0.3442159452
406	0.3440118005
407	0.3437182173
408	0.3435940601
409	0.3434542934
410	0.3432703704
411	0.3430783736
412	0.3428588335
413	0.3426311477
414	0.342398819
415	0.3422185308
416	0.341957168
417	0.3417979755
418	0.3416878897
419	0.3414966407
420	0.341297053
421	0.3410541532
422	0.3407992035
423	0.3405506313
424	0.340414426
425	0.3402269421
426	0.3400584237
427	0.3399180257
428	0.339695189
429	0.3395476609
430	0.3392983681
431	0.3390696658
432	0.338862912
433	0.3387103042
434	0.3385037636
435	0.3383163032
436	0.3381310621
437	0.337901491
438	0.3376823311
439	0.337533726
