r ($\AA$),C_CO₂ - BF₄⁻,C_CO₂ - Solvent,C_CO₂ - TBA⁺,O_CO₂ - BF₄⁻,O_CO₂ - Solvent,O_CO₂ - TBA⁺
0.25,0,0,0,0,0,0
0.75,0,0,0,0,0,0
1.25,0,0,0,0,0,0
1.75,0,0,0,0,0,0
2.25,0,0,0,0,0.006657402,0
2.75,0,0.056101939,0,0,0.1377047588855813,0
3.25,0,0.3398645011515525,0,0.093531259,0.4143240625597555,0
3.75,0.8902995175171948,0.7236365463374775,0,0.9371573868602054,0.7133381135148381,0.1405736080290307
4.25,1.5691987857864291,0.912725897,0.07298599,1.3137478206584063,0.9822363640820077,0.4196694427103243
4.75,1.4610664057137888,1.116190511266182,0.4090985935998606,1.4464557416566517,1.2298646887656723,0.8474185153139976
5.25,1.0526740677783195,1.320487250523121,1.172296120934947,0.9450142199373563,1.350458490215112,0.9569764252530192
5.75,0.5984115807784931,1.4160215427945266,1.296558425,0.7978821077046582,1.247531053749935,0.7978821077046587
6.25,0.8442409295275835,1.2674128298812637,1.2494765757008237,0.7767016551653769,1.1268915557503716,1.173494892043341
6.75,0.5211760092922745,1.0739577269217695,1.0133977958460891,0.8324339037307167,1.0550791494585978,1.136453242484545
7.25,0.803192892,0.9171992090191404,1.229889115782782,0.8471175032177339,0.9268529697395702,1.2675387825924618
7.75,1.2630827887398135,0.8282958577663718,1.0763662025782752,0.911616274,0.8854252592637609,1.1697244956590445
8.25,1.2019014809695516,0.8501219738962225,1.269750758121058,1.2261333656665157,0.9110478554200244,1.221286988727123
8.75,1.0512682808641851,0.9358074218177306,1.3356277338848257,1.0986615230342922,0.957775918,1.206373437057262
9.25,1.1489075052836832,0.985060308,1.094931984901227,1.0448118588318054,0.993872638,1.129630533718519
9.75,0.9716539777875758,1.062667092399807,1.047998218899456,1.0063559055657036,1.0239738073607518,1.044528026121644
10.25,0.9985073807422876,1.0467454524223558,0.9545479363070934,1.1021260711966785,1.032023294160438,1.0142071823262884
10.75,1.0448257571530473,1.0233474238678315,1.0448257571530466,1.0676634786208736,1.0184536264104396,1.0105691749513075
11.25,1.136496130569576,0.996978694,1.0322304305173218,1.0635101405329983,0.98888187,1.0218038605120967
11.75,0.9940542082954096,0.9835506769313428,0.9510422473595505,1.103973664020385,1.0011265860805505,1.0896363437084318
12.25,1.0904536479201814,0.9867297690857552,1.165202486688904,1.0069108281198444,0.993429945,1.1300265625624444
12.75,1.140560408626456,1.0041177865159256,1.156796143980569,1.1243246732723398,0.996148598,1.0350281288247172
13.25,1.0899402831043834,1.001417913,1.014771987717874,1.0636313797191057,1.0025192802281295,1.052356135411129
13.75,1.1063537392300975,1.0009995006033727,1.0854132899071305,1.1115888515608388,1.0074682840938618,1.0156117921639063
14.25,1.0040889597707576,1.014503956,0.955346777,1.0609548393694264,0.9986731617137428,1.0333342692786451
14.75,1.0948876869964406,1.0021777974143369,0.9493070527143656,1.0266467646767188,1.0026444020113945,0.9659881670591868
15.25,1.024275081,0.990549343,0.944829922,1.0412990434473397,0.9985728468068028,0.9533419035376182
15.75,0.9655994996928594,0.9903194860773946,1.0560413261103718,1.1025922661782113,0.9948600905926462,0.9935300637335632
16.25,1.082019029635048,0.9962604470512256,0.9245890091569698,0.9770656826496608,0.9932581186183638,1.037039023784166
16.75,1.0701324214822607,1.0005649835442565,1.0395572094399104,1.0136858761733052,0.9980665863923028,0.9866385732127642
17.25,1.0112167020581753,1.001891491805276,0.9801705752405998,1.061112263014993,1.005319400103816,0.9790617849971144
17.75,1.0116020367262346,0.995253331,0.9822802385602576,1.036735006582789,1.0039225181589553,1.0011299659526725
18.25,1.000521605974284,1.0142450771736258,1.020333915003479,1.008446529585961,1.0004127471334634,0.9668406806246544
18.75,1.0511089724158569,0.9997085885999152,0.9516290160979276,0.9825991911780372,0.99599588,0.9797837207162092
19.25,0.9811913504276536,0.9965657812856862,1.015025534925159,1.0301618806214112,1.002136321783251,0.9945469495714055
19.75,1.0539466971838334,0.9950336553025492,0.982894111,1.0649429307820582,0.9994705689437612,1.0302625017414984
