solvent ID,smiles,EA_0-1
14020437,C1C[C@H]2C[C@@H]1CO2,-5.489057380310376
zinc_649254349,C=CCCCCN(CCO)C(C)C,-4.01886612227996
zinc_122849812,CCCC[C@@H](C)N[C@@H](C)CCO,-5.559618174089625
zinc_649693846,CCCCN(C(C)C)C1COC1,-5.91765180725386
zinc_51690513,CC[C@@H](C)C(=N)OC,-4.28391079585564
zinc_2031625,CCCCOC,-4.419153258031675
zinc_1654086,CCOCCCCC(C)(C)O,-5.703350538861368
58056785,C1COCC1(F)F,-4.753781313987844
zinc_648606484,CC(C)CCCN(C(C)C)C1COC1,-5.467270889118849
zinc_675640242,COC[C@@H]1CCCN1CC1CC1,-5.454769334715636
zinc_967428,CCC[C@H]1CO1,-5.9917345367884565
zinc_122122089,C[C@@H](NCCO)C1CCC1,-5.302425527459844
zinc_126766585,C=CCC[C@@H](C)NCCOCC,-3.9846003316080014
zinc_652019930,CC[C@H](C)[C@@H](C)N[C@@H](CO)CCF,-5.362187322281912
zinc_15635672,C[C@@H](CO)N1CCCC[C@@H]1C,-4.765681042485353
zinc_221840510,C[C@@H]1CCN(CCF)C1,-4.362127956475713
zinc_306640259,CC(C)[C@@H]1CN(CCF)CCO1,-5.502170109848893
zinc_87362599,CC[C@@H](CCO)CNC(C)C,-4.3085577720197845
zinc_379153454,CCOCCN(C)[C@H](CC)CO,-4.776724225907497
zinc_674868297,CC[C@@H]1CCN([C@@H](C)COC)C1,-5.353901701552116
zinc_648754900,C=CCC[C@H](CC)N[C@@H](CC)[C@H](C)O,-4.050329220722252
zinc_586500,CCN(CC)C[C@H]1OC1(C)C,-5.390949653886498
zinc_336555741,CO[C@@H]1CCCN(CC2CC2)C1,-5.501806837304576
zinc_307878827,C=C[C@H](CO)N[C@@H](C)C1CC1,-3.7350311005183983
zinc_70623658,CCCCN[C@H](CC)COC,-4.348169405180887
zinc_70642669,C[C@@H]1CC[C@H](NC2CC2)C1,-5.407728679793202
zinc_35359193,C[C@H]1CCCNCC1,-5.610836207254602
zinc_51863092,CC(C)NCCOCCN(C)C,-4.386812922281264
zinc_4886739,CN(C)CC(O)CN(C)C,-5.464502495336562
zinc_83428619,CN1CC(CCO)C1,-4.855633821763272
zinc_39437573,CC(=O)OCCC1OCCO1,-4.073539380309725
zinc_2509151,CCCCCCNC[C@@H](C)O,-4.568504775129106
zinc_1565877,CCCC[N]1([O])CCOCC1,-5.890831177201131
zinc_141737567,CC(C)N1C[C@H](C)OC(C)(C)C1,-4.248058627977182
zinc_319386485,C=CC[C@H](C)NC[C@](C)(CC)OC,-4.062150087045971
zinc_144783383,COC1CN(C(=O)C)C1,-4.277255038340754
zinc_62463053,OCCCOC1CCC1,-4.969531361658039
zinc_335587792,C=C1CCN(C[C@@H](C)OC)CC1,-4.048274574095581
zinc_33426857,CCN1CC[C@@H](N)C1,-5.846763467357163
zinc_87439807,CCNC1CC(C)(C)C1,-5.463868499482883
181097,CN(C)P(=O)(N(C)C)SC,-3.205281881866554
zinc_71773133,CC[C@@H](C)OC(C)(C)OC,-5.436234460104772
zinc_252711924,CCOC[C@H](C)N[C@@H](C)[C@H](C)OC,-4.406720785487594
zinc_39238416,CCOCC1CC1,-5.911072756478296
zinc_5818974,CCC(C)(OC)OC,-5.797474176165423
zinc_159033790,CC(C)OCCN[C@H](C)[C@@H](C)O,-4.374501747148696
zinc_308135205,COC[C@H](NCCCCF)C1CC1,-4.212705875649627
zinc_95635072,CN(C)C[C@H](O)CO,-4.595463434197217
11115993,C[C@H]1CC(=O)OC1,-4.09737151917053
zinc_131942854,CCC(CC)N[C@@H](C)[C@@H](C)OC,-5.50983340103774
zinc_307225134,CC[C@](C)(C=O)COC,-3.579703867357224
zinc_1335987528,C[C@@H](O)CN[C@@H]1C[C@H]1C(F)(F)F,-4.700432304661083
zinc_87501069,COC[C@@H](CO)C1CC1,-5.364646113991408
zinc_68604064,F[C@]12CC[N@](CC1)CC2,-5.390132364766517
zinc_644664024,C=C(CC)CNC[C@@H](O)CCC(C)C,-4.016662453887054
zinc_595820199,C=C(C)CCN(CC)[C@@H](C)C#N,-4.026642789637865
zinc_308308647,CCOCCN[C@H](C)CCCOC,-5.319919701554337
zinc_85652280,CCCOC(=O)CC1OCCO1,-3.975594281863645
zinc_1555811,CCCCCOCC,-4.407928236270033
zinc_11892475,CC(C)N1CC[C@H](CO)C1,-4.862387651813646
zinc_39212281,CC1(O)CCOCC1,-4.872246366840299
zinc_88026816,O[C@H]1CCN(CCCF)C1,-4.798706835233406
zinc_44656209,CCCCNCCCCOC,-4.3321317160617285
zinc_11638226,CC(=O)N(C)CCO,-4.351165251813546
zinc_4283944,CCCOCCO,-4.428506225906905
zinc_49800130,C=CCN(CCO)CCCC,-3.892136167876248
zinc_663462507,CC[C@@H](NCCOCCF)C1CC1,-5.387544219690982
zinc_126277090,CSCCN(C)C[C@H](C)O,-5.287861189636554
zinc_660126521,CC(=CCCN(C)[C@H](C)CO)C,-4.247612290156429
zinc_115587859,COCCN1CCC1,-5.549974464249472
zinc_53302853,C=CCCNCCOC,-3.953811589637025
zinc_74942206,N[C@@H](CO)CF,-4.76662334715053
zinc_133757598,C[C@H](CO)N(C)CC1CC1,-5.586338818652286
zinc_698558351,CCC[C@H](C)NC[C@@](C)(O)C(F)F,-4.1064901367854905
47519,CO[C@@H]1CCCO1,-5.4003447606203405
zinc_830217983,CCCCCCN(C(C)C)C1COC1,-5.552344559583551
zinc_49900374,CCCCCCN(C)CC(=O)OC,-4.001642994821256
zinc_379412396,C=C(C)CN(CCCC)CCOC,-4.038083355438881
zinc_308051915,C=C(CC)CN(C)C[C@@H](C)OC,-4.0603824642474775
zinc_648638722,CCC(CC)CN1CCOC[C@@H]1C,-5.515405106735321
zinc_649696352,FCCCN(C1CC1)C1COC1,-5.584327469428857
zinc_134717145,COC1(CNC(C)C)CCC1,-5.330556341967049
zinc_308373046,COCCN(C)C(=O)CCC(C)C,-4.344894563730325
zinc_688757893,C[C@H](NCCCC(F)F)[C@@H](C)O,-5.408354916063811
zinc_308304690,C[C@@H]1C[C@H](N[C@@H](CO)CC(F)F)C1,-4.627116615546357
zinc_86234006,CN(CCC(C)(C)O)CC(F)(F)F,-4.949633871503149
zinc_608746432,COC[C@H](C)N1CC[C@H](CC(C)C)C1,-5.49614937202484
zinc_83398863,CCC(CC)N[C@@H](COC)C(C)C,-5.572408153363908
zinc_70916129,OC[C@H]1CCCN1CCC(F)(F)F,-4.809945894299324
zinc_379316214,CC(C)[C@@H](O)C(=O)N(C)C(C)C,-3.9218766383406978
zinc_594733986,C=C1CCN(CCOC(C)C)CC1,-4.084045077723651
zinc_39274406,COC[C@@H]1OC1(C)C,-5.606475912951499
zinc_1326527097,CC(C)CCN[C@@H](CO)CCF,-4.181598963730462
zinc_157225368,CN(CCO)CC(F)(F)C(F)F,-4.754830124351838
zinc_307554630,CN(CCCF)C1CCC1,-5.328340279792649
zinc_307297466,C[C@H]1[C@H](C)C[N@@]1C1CCCC1,-5.544160190671584
zinc_70624380,CC[C@H](COC)NC1CCC1,-5.445228304663612
zinc_389299713,CO[C@H](CN[C@@H]1CCC[C@H]1C)C(C)C,-5.162827135750395
zinc_307979536,CO[C@H](C)CN(C)CCCCF,-4.205538093263644
zinc_82680440,O[C@@H](CNC1CC1)C(F)(F)F,-4.261214385490206
zinc_161594569,CO[C@@H](C)[C@H](C)NC1CCC1,-5.44537166839427
zinc_37186358,CCCC[C@H](C)NCCOC,-5.586138551296102
zinc_661243892,C=CCCCN(CC=C)[C@@H](C)COC,-3.924958594815469
zinc_5498152,CCC(CC)N[C@H](C)CO,-5.526319475648895
zinc_649733957,CCCCCN1C[C@@H](CC)OC[C@H]1C,-5.190112855959332
zinc_663383885,C=CCN(CC1CC1)[C@H](C)COC,-3.981137993783897
zinc_388743344,C/C=C\C[C@H](CO)NCCC(C)C,-4.232396093261429
zinc_393545587,CCN(CCCCCF)[C@H](C)CO,-5.582604922279176
