r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0,0
3.25,0.029281621,0
3.75,0.4405490664697248,0.099020394
4.25,1.287429898740181,0.8404353803755917
4.75,1.7190144018927669,1.889114779
5.25,1.5916168240755248,2.1720888422677764
5.75,1.2444673659949277,1.4835253122617902
6.25,0.9784226372189836,0.9161458629100931
6.75,0.8033531447622764,0.6580357388162084
7.25,0.7482223777566607,0.6141464282144424
7.75,0.7917206175022404,0.7085512692467123
8.25,0.9073121201637596,0.8631223785253488
8.75,1.0106221793513983,1.0239420245580646
9.25,1.1009345485157755,1.140011161927532
9.75,1.1526761954197204,1.1908361872803406
10.25,1.1484749358351087,1.2041999006241988
10.75,1.0723514133367875,1.1227348373825097
11.25,0.976869695,0.9919157226328744
11.75,0.9005626376211162,0.877605561
12.25,0.8914490293301074,0.8371180867038506
12.75,0.9275471320971356,0.8708411938903237
13.25,0.9820518863928662,0.9591074361491504
13.75,1.0293598088610565,1.040934856965475
14.25,1.0600975209256227,1.097547136
14.75,1.0625045420551238,1.0915833638606989
15.25,1.058213853553005,1.0644317829165189
15.75,1.0178357197200254,1.027803019984728
16.25,0.9851629678078228,0.9862631076085866
16.75,0.9644824234403714,0.9543120533869156
17.25,0.966508576,0.9403222225108284
17.75,0.967311891,0.9630089021658376
18.25,0.9957878784212628,0.980746585
18.75,1.0198730898129416,1.0209197915201982
19.25,1.0333157320211537,1.0521660088967746
19.75,1.0351366139185787,1.047069739906065
