r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.025702454,0
3.25,0.4289313225222166,0.051091543
3.75,0.9152114427269672,0.7143113699332428
4.25,1.076106375577282,1.3212291525666149
4.75,1.2698284888073632,1.473346275546715
5.25,1.3341504753569795,1.3694816429087195
5.75,1.2394944104928838,1.1908420693266497
6.25,0.9671646489479384,1.0382702335844964
6.75,0.8715961715913836,0.8640098779630369
7.25,0.9142378963273756,0.8025588229334737
7.75,0.9916172481894692,0.9344810074221144
8.25,1.023781087941025,1.0485306217285224
8.75,1.0452045501596838,1.0981585156653784
9.25,1.0071394732230423,1.0748012614525568
9.75,0.9911543700394744,0.9868562157895208
10.25,0.9692312400781689,0.9181938767973072
10.75,0.9579375112403676,0.9458612972996882
11.25,0.977014189,0.9676761785828114
11.75,1.0090240845107086,0.9846180867987172
12.25,1.0202181391745353,1.0267115408733836
12.75,1.0169971516847929,1.0521113586104058
13.25,1.0199061990081049,1.0265666355299614
13.75,1.0025857088505037,1.0122620857957294
14.25,0.9892289174102584,0.987990524
14.75,0.996298505,0.9769377528496792
15.25,0.9932739856821609,0.988272878
15.75,0.9984528916172788,0.9905455583300256
16.25,1.003218790417762,1.0044330239491313
16.75,1.0031127658682453,1.0224512293317614
17.25,1.0043545912408605,1.0009740641750886
17.75,0.9989577677612638,1.0107111511377724
18.25,0.99877142,0.9918815183766824
18.75,0.9992942420959422,0.9895121423728525
19.25,0.9964817289266452,0.9929357721162376
19.75,1.001324989749631,0.9972632117344212
