r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.018416185,0
3.25,0.3954873613630431,0.1459305670976489
3.75,1.0762218566500568,0.8073122220074131
4.25,1.6763271315563093,1.5245945402447083
4.75,1.428875303840479,1.8643039542216024
5.25,1.1245949622808336,1.4632243245989762
5.75,0.901380711,0.9068436242853036
6.25,0.8116622326321452,0.6787148385780646
6.75,0.8005406135892588,0.6493353963894865
7.25,0.8672294348787736,0.7920830904045011
7.75,0.9850555513411212,0.94410557
8.25,1.083845331305751,1.140134098024831
8.75,1.1144774304363545,1.1662350087784823
9.25,1.0825165232672846,1.152156579807335
9.75,1.004512842280117,1.0196757893252435
10.25,0.9481654974377268,0.9451556964193524
10.75,0.9280592747413244,0.8838152082257988
11.25,0.9510219816425146,0.8974158565683564
11.75,0.97685378,0.9683164607285956
12.25,1.012053790992892,1.031074786280489
12.75,1.026053362480745,1.044218294094358
13.25,1.0381624975332366,1.0490639289598558
13.75,1.0118104552230491,1.0276468083985997
14.25,0.9920371137622294,0.995394604
14.75,0.9781619767828764,0.9690439176342482
15.25,0.977224565,0.9589636366913556
15.75,0.9887381545501576,0.9821981145105152
16.25,0.9997438681304228,1.0016725544153215
16.75,1.011748317416772,1.014646890267341
17.25,1.0122264238200245,1.0179960619845412
17.75,1.0048406015306235,1.011280550378005
18.25,0.9941562122518194,1.0005811026171667
18.75,0.9971750673704284,0.9876768267722988
19.25,0.9919480691162202,0.9889110636081656
19.75,0.9911988539220098,0.989177117
