r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.00922327,0
3.25,0.2553828965508401,0.069864452
3.75,0.8570545988087741,0.6364056085525416
4.25,1.7399677016840582,1.5874649752106378
4.75,1.7111547667789937,1.8025195914305423
5.25,1.191055708742495,1.645308707
5.75,0.9420048264147745,1.0815387250372892
6.25,0.8611761009029406,0.7582746965349925
6.75,0.7963543037471313,0.6681221904269907
7.25,0.8386524723467774,0.7519084248501638
7.75,0.9299511973976478,0.8867131231266555
8.25,1.054907237251587,1.0478627815771184
8.75,1.112262092820416,1.132093628082434
9.25,1.1155486313923195,1.1672689918011945
9.75,1.0712411443889789,1.109702421497706
10.25,1.008379124264112,1.0223566566796536
10.75,0.9485437971427848,0.9546383369193684
11.25,0.937394476,0.9136744611438088
11.75,0.965226027,0.9352684909609716
12.25,0.985117924,0.962815126
12.75,1.010936069592743,1.020861366728779
13.25,1.0276219518798164,1.0254025889313558
13.75,1.034363883492676,1.054603046023466
14.25,1.0193681041096254,1.026822035029943
14.75,1.002754163203575,1.006933071
15.25,0.9884331268752012,0.9877457603057472
15.75,0.9879169020556304,0.9843927269560576
16.25,0.9763787054368818,0.9748463446002308
16.75,0.9960062931904226,0.9877801337379216
17.25,1.009702662545874,0.9907485979662174
17.75,1.0093406270620435,1.0240390696730135
18.25,1.0055521518650263,1.0133966615743897
18.75,1.0076471323272085,1.0037536401924827
19.25,1.0002705458345933,1.007563918
19.75,0.996745613,1.003021219472197
