r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0,0
3.25,0.1081700467821586,0.004006298
3.75,0.4832093246951853,0.2047241998708572
4.25,0.8816071128079261,0.8007149708082626
4.75,1.1006786416027254,1.2457147611145558
5.25,1.2935198595314636,1.3319488511990647
5.75,1.5526725891339028,1.5270403548931455
6.25,1.3769599343392844,1.5453846180550015
6.75,1.1166621929427614,1.2594424067009569
7.25,0.9391832407506576,0.9377721476651764
7.75,0.8886355210933905,0.7677867357153926
8.25,0.8681358512271544,0.7846852026873848
8.75,0.9029951630321196,0.8711605696082403
9.25,0.9660756639475488,0.9725161683738658
9.75,1.0172652559862534,1.0452470180961224
10.25,1.057242511,1.0900260062711604
10.75,1.055750517214336,1.0344740995637345
11.25,1.005290025575527,1.0418840898134705
11.75,0.992343943,0.9987154562951628
12.25,0.9866648945053056,0.9851110915218336
12.75,0.9827191355986944,0.9647898738532132
13.25,0.9839735109063494,0.9612139542702564
13.75,0.987271282,0.986430383
14.25,0.9911366788628786,0.9986006077205009
14.75,0.9990385405369704,1.0098049869922627
15.25,1.0082568142645514,1.0089404400031037
15.75,1.0039696059714864,1.0046105194536148
16.25,1.0122612345421087,1.0002597234144632
16.75,0.9908147948865637,1.0053594891341455
17.25,0.9999676687230296,1.0000745295147575
17.75,0.9932766174142904,0.9860436124102572
18.25,0.999237333,0.9962777141638792
18.75,1.001650711417802,0.9938420386833344
19.25,0.9994364485965492,1.0112497124776734
19.75,1.0046922047737252,1.0067845775800324
