r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.005447772,0
3.25,0.1795619898115794,0.037473807
3.75,0.6471114765833764,0.4423590692147469
4.25,1.0020033929956471,0.9293547201792736
4.75,1.2271116,1.2966259725704177
5.25,1.4090604125752793,1.4282313025422897
5.75,1.3978323736269518,1.5349433211204664
6.25,1.1680185334294972,1.3745622632323244
6.75,0.986056653,0.9936695904513064
7.25,0.8804030887625816,0.7850247780578009
7.75,0.847102068,0.7590914631701713
8.25,0.9025390868769456,0.8337291282566377
8.75,0.9848053842125758,0.960206827
9.25,1.018043733057509,1.0776106352193378
9.75,1.0736990022337694,1.0896880453230382
10.25,1.080107809065584,1.105819045402809
10.75,1.0238770893359108,1.0458229293433197
11.25,1.0044837609803932,1.006637765
11.75,0.9902977310631264,0.9627728394444536
12.25,0.9732170550127118,0.9723362159539832
12.75,0.9893600335207852,0.9637468499942556
13.25,0.9847182337286324,0.9873534349657924
13.75,1.000627226313661,1.0116826736370088
14.25,1.0015436707736516,1.0072802616490255
14.75,1.0032663262357986,1.013974922
15.25,1.0018321541038686,0.9907129220115842
15.75,1.002185420248528,1.0071478883491902
16.25,1.002632743,1.0010058039952556
16.75,1.009869652486389,1.0089862300342227
17.25,1.0031280745834483,0.9961034848392094
17.75,0.9958474959301498,1.0086443565266814
18.25,1.0009951505020784,0.9961579871103132
18.75,0.9996492078260082,0.9931395143693044
19.25,0.994437512,0.9990750393123088
19.75,0.9978276602085012,0.9955189036022748
