r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.050536721,0.004813021
3.25,0.3534917609007317,0.1551915047856869
3.75,0.698443398,0.6245820364201863
4.25,0.983952283,1.0162461011539552
4.75,1.2359740317487875,1.1604175937177257
5.25,1.264995701848932,1.3397574771151075
5.75,1.224592579324842,1.3685649501373571
6.25,1.1323170738301815,1.1944194123124143
6.75,1.0249007116782978,1.0216978969543022
7.25,0.9353164357364532,0.931845874
7.75,0.909684338,0.8316246138558764
8.25,0.9420428265102778,0.8952690398475815
8.75,0.9637812745789542,0.9717641334486276
9.25,1.0286461649241765,1.0358961586238895
9.75,1.0516820041882644,1.0508183178995802
10.25,1.0394760903218851,1.0732540703682645
10.75,1.0045706604843752,1.0343327932154254
11.25,0.9794830488352914,0.9861148151359128
11.75,0.9807082228947774,0.9461478563039838
12.25,0.9706922722155944,0.9488051860326048
12.75,0.9879354731485018,0.9777771864564676
13.25,0.9986139176479036,1.004746122179671
13.75,0.999605498,1.021128335
14.25,1.0070328135428888,1.0158841705351682
14.75,1.0104602155240932,1.0074827232932482
15.25,0.9936655221503824,0.9874668822064562
15.75,0.9984864332343614,0.9955071942358722
16.25,0.983496574,0.9875046408969116
16.75,0.9988969856889408,0.9856936982755506
17.25,0.9919971941861464,1.0017479084465073
17.75,0.998787469,1.0022336608453497
18.25,1.002861628323594,0.994095355
18.75,1.0018684294905562,1.0017386638726655
19.25,0.998983804,1.004794712748143
19.75,1.0003431332031476,0.9975595290209618
