r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0,0
3.25,0.035031643,0
3.75,0.4289249727634064,0.097132216
4.25,1.2951854579507267,0.8066629953721496
4.75,1.736243805,1.9077735975941967
5.25,1.5953247258206045,2.155217889327663
5.75,1.2313730382369918,1.5325986096494315
6.25,0.984109439,0.9074022214610472
6.75,0.8167145043038406,0.67423821
7.25,0.741422058,0.6032031893777269
7.75,0.7871798906831629,0.6972803086278481
8.25,0.8998310539721379,0.8635899451623257
8.75,1.0061249161621817,1.013136239619758
9.25,1.092797757611924,1.1424669879319251
9.75,1.167684187708514,1.1973317625130186
10.25,1.1377122015242669,1.1899655716311666
10.75,1.0636697269778734,1.1156005684291408
11.25,0.9763884446926578,0.9866396396382292
11.75,0.9083115942369526,0.8741011937404891
12.25,0.8953150560480314,0.8427997873116618
12.75,0.9162797029077216,0.8821133411043823
13.25,0.9686151992642318,0.9479366518244784
13.75,1.023968667,1.0358347905002374
14.25,1.0572501943431023,1.0819589204903328
14.75,1.0688773224411263,1.0864162763893257
15.25,1.049852739377933,1.0720321461864366
15.75,1.010695532618841,1.032932123
16.25,0.9887703129015027,0.9706403962728654
16.75,0.9675315751987028,0.946321471
17.25,0.9528793507996126,0.9536956135437602
17.75,0.9790973331375274,0.9578968459298705
18.25,0.991417275,0.9864659460329116
18.75,1.0184660332709123,1.0206296167894735
19.25,1.0289841115081628,1.0329514287986523
19.75,1.0316227646093183,1.048763492947174
