r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0.008069671,0
3.25,0.3174956211367347,0.05887336
3.75,0.8623261442412464,0.5806777059251638
4.25,1.3385477602532538,1.3154746547558973
4.75,1.6295402042660023,1.7928637349430043
5.25,1.423300644204628,1.7328892071710569
5.75,1.058714192102874,1.238305481360477
6.25,0.8964670589239218,0.8164711098741841
6.75,0.8093972294426878,0.6832035118245123
7.25,0.8395026939327848,0.7264052295579708
7.75,0.9298924470949126,0.8914671393637174
8.25,1.0161625356577664,1.0086450900739363
8.75,1.044594889811797,1.1006746711007191
9.25,1.0670259110987712,1.1071328247233791
9.75,1.052158146,1.078545474755486
10.25,1.0386430104712472,1.0400724085691486
10.75,1.0131649598278831,1.0075817229946271
11.25,0.9686748919375502,0.9646755536513416
11.75,0.962655448,0.94581482
12.25,0.9659735187833104,0.9469209328794496
12.75,0.9939475985765862,0.9881306372794904
13.25,1.0114799741672176,1.0136978540754902
13.75,1.012906145096334,1.0244100897540946
14.25,1.0166310096800737,1.034436844889495
14.75,1.0122136328714595,1.0091710346165967
15.25,1.0032623868381454,1.0064197069569374
15.75,0.9946453833646384,0.9853391533094848
16.25,0.989849671,0.9828136239006082
16.75,0.9915781413686962,1.0009167529658376
17.25,0.9962317814021652,0.9947362185852734
17.75,1.0037210564579606,0.9953520059942484
18.25,1.0020074573540785,1.002157776009858
18.75,1.0031133333082198,1.002464581093288
19.25,0.9987606975797017,1.0103048946673574
19.75,1.0008451022652467,0.9965666456167316
