r ($\AA$),C_CO_ - Solvent,O_CO_ - Solvent
0.25,0,0
0.75,0,0
1.25,0,0
1.75,0,0
2.25,0,0
2.75,0,0
3.25,0.073071819,0.001699345
3.75,0.4252484225928432,0.1775060983195352
4.25,0.8975789504008654,0.7389486539034263
4.75,1.2439328047517657,1.2861405119552496
5.25,1.636230142,1.5785268669464538
5.75,1.614004990647631,1.8955996639906656
6.25,1.2601582441122232,1.537406862727382
6.75,1.0009636890928362,1.0360783001804446
7.25,0.8393254299064806,0.7083304667222176
7.75,0.7815500397966424,0.6543348858657453
8.25,0.8145299891200515,0.7296033176421542
8.75,0.8733651322669255,0.8550477135208048
9.25,1.0024867449625212,1.0212945352725822
9.75,1.0738822916433783,1.1000791560013885
10.25,1.1051838009848824,1.135733597109668
10.75,1.0990005951503328,1.114404964245601
11.25,1.0717668084446257,1.0935758102470052
11.75,1.0232085224632677,1.0226875405271871
12.25,0.9808818136897558,0.9858548263668216
12.75,0.9611644739367612,0.9529787021481412
13.25,0.9419321260230512,0.9326111360852424
13.75,0.9622821648115716,0.9324159396706378
14.25,0.9793671015559284,0.9730794567227188
14.75,1.0056846435663436,0.9995680442712086
15.25,1.0057014947627516,1.0359359468965543
15.75,1.0344995852865737,1.0315997966803043
16.25,1.0325017370824778,1.0336594792848652
16.75,1.0143131659439255,1.0212677603074074
17.25,1.0023906182638314,0.9981601019682522
17.75,0.9909248833320196,0.9920950086226682
18.25,0.9882107755889904,0.99091051
18.75,0.9921995547604474,0.99089514
19.25,0.991995194,0.9803720509564202
19.75,1.0000831877481065,0.993697667
